product_id,product_name,revenue
1004,Field & Stream Sportsman 16 Gun Fire Safe,6637668.28232
365,Perfect Fitness Perfect Rip Deck,4233794.36829
957,Diamondback Women's Serene Classic Comfort Bi,3946837.00455
191,Nike Men's Free 5.0+ Running Shoe,3507549.20673
502,Nike Men's Dri-FIT Victory Golf Polo,3011600.0
1073,Pelican Sunstream 100 Kayak,2967851.68152
1014,O'Brien Men's Neoprene Life Vest,2765543.31474
403,Nike Men's CJ Elite 2 TD Football Cleat,2763977.4868
627,Under Armour Girls' Toddler Spine Surge Runni,1214896.22029
565,adidas Youth Germany Black/Red Away Match Soc,63490.0
